title,artist,chords_url
Somewhere,Sondheim & Bernstein,https://tabs.ultimate-guitar.com/tab/tom-waits/somewhere-from-west-side-story-chords-1239830
Sorry Not Sorry,Demi Lovato,https://tabs.ultimate-guitar.com/tab/demi-lovato/sorry-not-sorry-chords-2081331
Stand by Me,Ben E King,https://tabs.ultimate-guitar.com/tab/ben-e-king/stand-by-me-chords-1724608
Stay,"Rihanna, Mikky Ekko",https://tabs.ultimate-guitar.com/tab/rihanna/stay-chords-1195964
Stayin Alive,Bee Gees,https://tabs.ultimate-guitar.com/tab/bee-gees/stayin-alive-chords-1743431
Still the One,Shania Twain,https://tabs.ultimate-guitar.com/tab/shania-twain/youre-still-the-one-chords-1345
Stop This Train,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/stop-this-train-chords-1399499
Summer Wind,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/summer-wind-chords-1173371
Summertime,George Gershwin,https://tabs.ultimate-guitar.com/tab/george-gershwin/summertime-chords-1053545
Sunday Morning,Maroon 5,https://tabs.ultimate-guitar.com/tab/maroon-5/sunday-morning-chords-991692
Superstition,Stevie Wonder,https://tabs.ultimate-guitar.com/tab/stevie-wonder/superstition-chords-258837
Survivor,Destiny's Child,https://www.mychordbook.com/chords/destinys-child/survivor
Suspicious Minds,Elvis,https://tabs.ultimate-guitar.com/tab/elvis-presley/suspicious-minds-chords-79701
Sway,Michael Buble,https://tabs.ultimate-guitar.com/tab/660327
Sweet Caroline,Neil Diamond,https://tabs.ultimate-guitar.com/tab/neil-diamond/sweet-caroline-chords-66316
Sweet Home Alabama,Lynyrd Skynyrd,https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-chords-849467
Take a Bow,Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/take-a-bow-chords-661479
Take me Home Country Roads,John Denver,https://tabs.ultimate-guitar.com/tab/john-denver/take-me-home-country-roads-chords-57606
Take on Me,A Ha,https://tabs.ultimate-guitar.com/tab/a-ha/take-on-me-chords-1842621
Teenage Dream,Katy Perry,https://chords-haven.blogspot.com/2013/09/katy-perry-teenage-dream.html
Tennessee Whiskey,Chris Stapleton,https://tabs.ultimate-guitar.com/tab/chris-stapleton/tennessee-whiskey-chords-1802477
Thank U Next,Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/thank-u-next-chords-2509989
That's Amore,Dean Martin,https://tabs.ultimate-guitar.com/tab/dean-martin/thats-amore-chords-630810
That's Life,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/thats-life-chords-84885
That's What I Like,Bruno Mars,https://tabs.ultimate-guitar.com/tab/bruno-mars/thats-what-i-like-chords-1905087
The Boy is Mine,"Brandy, Ciara",https://tabs.ultimate-guitar.com/tab/brandy/the-boy-is-mine-chords-2203007
The Dress,Dijon,https://tabs.ultimate-guitar.com/tab/dijon/the-dress-chords-3945956
The Man Who Can't Be Moved,The Script,https://tabs.ultimate-guitar.com/tab/the-script/the-man-who-cant-be-moved-chords-716149
The One That Got Away,Katy Perry,https://tabs.ultimate-guitar.com/tab/reinaeiry/the-one-that-got-away-chords-3777284
The Way You Look Tonight,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/the-way-you-look-tonight-chords-742402
The Weekend,Sza,https://tabs.ultimate-guitar.com/tab/sza/the-weekend-chords-2053939
The Worst,Jhene Aiko,https://tabs.ultimate-guitar.com/tab/jhene-aiko/the-worst-chords-1459708
Thinkin Bout U,Frank Ocean,https://tabs.ultimate-guitar.com/tab/frank-ocean/thinkin-bout-you-chords-1135763
Thinking Out Loud,Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/thinking-out-loud-chords-1486860
This Love,Maroon 5,https://tabs.ultimate-guitar.com/tab/maroon-5/this-love-chords-786697
Thousand Miles,Vanessa Carlton,https://tabs.ultimate-guitar.com/tab/vanessa-carlton/a-thousand-miles-chords-653457
Through the Fire,Chaka Khan,https://tabs.ultimate-guitar.com/tab/chaka-khan/through-the-fire-chords-1101583
Time of Your Life,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/good-riddance-time-of-your-life-chords-12835
To Know Him is to Love Him,Amy Winehouse,https://tabs.ultimate-guitar.com/tab/amy-winehouse/to-know-him-is-to-love-him-chords-641515
Toxic,Britney Spears,https://tabs.ultimate-guitar.com/tab/britney-spears/toxic-chords-618385
Twist and Shout,Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/twist-and-shout-chords-489173
Unwritten,Natasha Bedingfield,https://tabs.ultimate-guitar.com/tab/natasha-bedingfield/unwritten-chords-640615
Up,Sing Street,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/sing-street-up-chords-1843517
Use Somebody,Kings of Leon,https://tabs.ultimate-guitar.com/tab/kings-of-leon/use-somebody-chords-799959
Valerie,Amy Winehouse,https://tabs.ultimate-guitar.com/tab/amy-winehouse/valerie-chords-840933
Video Games,Lana Del Rey,https://tabs.ultimate-guitar.com/tab/lana-del-rey/video-games-chords-1083902
Vienna,Billie Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/vienna-chords-804911
Viva La Vida,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/viva-la-vida-chords-675427
Wake Me Up,Avicii,https://tabs.ultimate-guitar.com/tab/avicii/wake-me-up-chords-1397194
Wake me Up When September Ends,Green Day,https://tabs.ultimate-guitar.com/tab/green-day/wake-me-up-when-september-ends-chords-953997
Washing Machine Heart,Mitski,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
We All Try,Frank Ocean,https://tabs.ultimate-guitar.com/tab/frank-ocean/we-all-try-chords-1083050
We Belong Together,Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/we-belong-together-chords-884422
We Found Love,"Rihanna, Calvin Harris",https://tabs.ultimate-guitar.com/tab/rihanna/we-found-love-chords-1096231
What Was I Made For,Billie Elish,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/barbie-what-was-i-made-for-chords-4871180
What You Won't Do for Love,Bobby Caldwell,https://tabs.ultimate-guitar.com/tab/bobby-caldwell/what-you-wont-do-for-love-chords-64306
What a Wonderful World,Louis Armstrong,https://tabs.ultimate-guitar.com/tab/louis-armstrong/what-a-wonderful-world-chords-955258
What's My Name,Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/whats-my-name-chords-1020630
When We Were Young,Adele,https://tabs.ultimate-guitar.com/tab/adele/when-we-were-young-chords-1782038
Who Knew,Pink,https://tabs.ultimate-guitar.com/tab/pnk/who-knew-chords-549303
Why Do You Only Call Me When You're High,Arctic Monkeys,https://tabs.ultimate-guitar.com/tab/arctic-monkeys/whyd-you-only-call-me-when-youre-high-chords-1419146
Wonderwall,Oasis,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-27596
Yellow,Coldplay,https://tabs.ultimate-guitar.com/tab/coldplay/yellow-chords-114080
Yesterday,Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/yesterday-chords-17450
You Belong WIth Me,Taylor Swift,https://chordseasy.com/song/26289/you-belong-with-me
You Make Me Feel Like Dancing,Leo Sayer,https://tabs.ultimate-guitar.com/tab/leo-sayer/you-make-me-feel-like-dancing-chords-1052194
You Make Me Feel So Young,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/you-make-me-feel-so-young-chords-1425782
You Make My Dreams Come True,Hall & Oates,https://tabs.ultimate-guitar.com/tab/hall-oates/you-make-my-dreams-chords-973669
You Oughtta Know,Alanis Morisette,https://tabs.ultimate-guitar.com/tab/alanis-morissette/you-oughta-know-chords-352404
You Send Me,Sam Cooke,https://tabs.ultimate-guitar.com/tab/sam-cooke/you-send-me-chords-212936
You and I,Lady Gaga,https://tabs.ultimate-guitar.com/tab/lady-gaga/you-and-i-chords-970384
Your Song,Elton John,https://tabs.ultimate-guitar.com/tab/elton-john/your-song-chords-29113
