title,artist,chords_url
Cupid,Sam Cooke,https://tabs.ultimate-guitar.com/tab/sam-cooke/cupid-chords-258817
DJ Got Us Falling in Love,Usher,https://tabs.ultimate-guitar.com/tab/usher/dj-got-us-fallin-in-love-chords-995925
Daisies,Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/daisies-chords-5869745
Dancing Queen,ABBA,https://tabs.ultimate-guitar.com/tab/misc-soundtrack/mamma-mia-dancing-queen-chords-3217598
Dancing With a Stranger,"Sam Smith, Normani",https://tabs.ultimate-guitar.com/tab/sam-smith/dancing-with-a-stranger-chords-2570979
Dancing in the Dark,Bruce Springsteen,https://tabs.ultimate-guitar.com/tab/bruce-springsteen/dancing-in-the-dark-chords-1087212
Dancing in the Moonlight,Toploader,https://tabs.ultimate-guitar.com/tab/toploader/dancing-in-the-moonlight-chords-632945
Dancing on My Own,Robyn,https://tabs.ultimate-guitar.com/tab/robyn/dancing-on-my-own-chords-956611
Danny's Song,Loggins & Messina,https://tabs.ultimate-guitar.com/tab/loggins-messina/dannys-song-chords-9297
Diamonds on the Soles of Her Shoes,Paul Simon,https://tabs.ultimate-guitar.com/tab/paul-simon/diamonds-on-the-soles-of-her-shoes-chords-377461
Die With a Smile,"Lady Gaga, Bruno Mars",https://tabs.ultimate-guitar.com/tab/lady-gaga/die-with-a-smile-chords-5389398
Distance,Emily King,https://tabs.ultimate-guitar.com/tab/emily-king/distance-chords-1502937
Dog Days Are Over,Florence and the Machine,https://tabs.ultimate-guitar.com/tab/florence-the-machine/dog-days-are-over-chords-908502
Don't Know Why,Norah Jones,https://tabs.ultimate-guitar.com/tab/norah-jones/dont-know-why-chords-43060
Don't Let Me Down,Beatles,https://tabs.ultimate-guitar.com/tab/the-beatles/dont-let-me-down-chords-17244
Don't Stop Believing,Journey,https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords-2063241
Don't Stop Me Now,Queen,https://tabs.ultimate-guitar.com/tab/queen/dont-stop-me-now-chords-519549
Down,Jay Sean,https://tabs.ultimate-guitar.com/tab/jay-sean/down-chords-892814
Dream a Little Dream of Me,The Mamas and The Papas,https://tabs.ultimate-guitar.com/tab/the-mamas-the-papas/dream-a-little-dream-of-me-chords-1131341
Dreams,Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/dreams-chords-43918
Easy,Troye Sivan,https://tabs.ultimate-guitar.com/tab/troye-sivan/easy-chords-3249758
Electric Feel,MGMT,https://tabs.ultimate-guitar.com/tab/mgmt/electric-feel-chords-838341
Emotions,Destiny's Child,https://tabs.ultimate-guitar.com/tab/destinys-child/emotions-chords-1099730
Emotions,Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/emotions-chords-1801751
Espresso,Sabrina Carpenter,https://tabs.ultimate-guitar.com/tab/sabrina-carpenter/espresso-chords-5223687
